destination,airline,flightDate,scheduledDeparture,scheduledArrival,callSign,equipment,aircraft,flightNumber
Nanning,YTO Cargo Airlines,10:25 PM,10:25 PM,5:25 AM,N/A,75F,N/A,YG9148
Kunming,YTO Cargo Airlines,10:40 PM,10:40 PM,5:40 AM,N/A,75F,N/A,YG9090
Sharjah,Pakistan International Airlines,11:35 PM,11:35 PM,1:45 AM,N/A,A320,Airbus A320-216,PK185
Abu Dhabi,Pakistan International Airlines,11:35 PM,11:35 PM,2:00 AM,N/A,A320,Airbus A320-216,PK263
Bishkek,Aero Nomad,11:40 PM,11:40 PM,3:15 AM,N/A,320,N/A,KA572
Jeddah,AirBlue,11:50 PM,11:50 PM,3:20 AM,N/A,320,N/A,PA472
Dubai,AirBlue,11:55 PM,11:55 PM,2:25 AM,N/A,320,N/A,PA416
Dubai,Pakistan International Airlines,12:35 AM,12:35 AM,2:55 AM,N/A,320,N/A,PK235
Sharjah,Pakistan International Airlines,12:45 AM,12:45 AM,2:55 AM,N/A,320,N/A,PK185
Abu Dhabi,AirBlue,12:50 AM,12:50 AM,3:15 AM,N/A,320,N/A,PA430
Jeddah,Pakistan International Airlines,1:00 AM,1:00 AM,4:00 AM,N/A,B772,Boeing 777-240(ER),PK839
Istanbul,Turkish Airlines,2:25 AM,2:25 AM,6:40 AM,N/A,332,N/A,TK715
Jeddah,Saudia,2:30 AM,2:30 AM,5:40 AM,N/A,B77W,Boeing 777-368(ER),SV739
