destination,airline,flightDate,scheduledDeparture,scheduledArrival,callSign,equipment,aircraft,flightNumber
Jeddah,Pakistan International Airlines,1:00 AM,1:00 AM,4:00 AM,N/A,B772,Boeing 777-240(ER),PK839
Istanbul,Turkish Airlines,2:25 AM,2:25 AM,6:40 AM,N/A,333,N/A,TK715
Jeddah,Saudia,2:30 AM,2:30 AM,5:40 AM,N/A,B77W,Boeing 777-368(ER),SV739
Doha,Qatar Airways,3:10 AM,3:10 AM,4:55 AM,N/A,351,N/A,QR621
Dammam,Flynas,3:15 AM,3:15 AM,5:05 AM,N/A,32N,N/A,XY884
Dubai,Emirates,3:30 AM,3:30 AM,5:40 AM,N/A,B77W,Boeing 777-31H(ER),EK623
Kuwait City,Kuwait Airways,3:50 AM,3:50 AM,5:50 AM,N/A,32A,N/A,KU202
Abu Dhabi,Etihad Airways,4:15 AM,4:15 AM,6:40 AM,N/A,A321,Airbus A321-231,EY242
Muscat,SalamAir,4:20 AM,4:20 AM,6:20 AM,N/A,32Q,N/A,OV522
Toronto,Pakistan International Airlines,4:20 AM,4:20 AM,10:00 AM,PIA789,B77L,Boeing 777-240(LR),PK789
Ra'sal-Khaymah,Air Arabia,4:40 AM,4:40 AM,6:45 AM,N/A,320,N/A,G9855
Istanbul,Turkish Airlines,5:45 AM,5:45 AM,10:30 AM,N/A,333,N/A,TK715
Ra'sal-Khaymah,Air Arabia,6:25 AM,6:25 AM,8:30 AM,N/A,320,N/A,G9855
Karachi,FlyJinnah,7:15 AM,7:15 AM,9:00 AM,N/A,320,N/A,9P841
Riyadh,Pakistan International Airlines,8:05 AM,8:05 AM,10:00 AM,N/A,B772,Boeing 777-2Q8(ER),PK725
Jeddah,Serene Air,8:10 AM,8:10 AM,11:45 AM,N/A,332,N/A,ER821
Doha,Qatar Airways,9:55 AM,9:55 AM,11:40 AM,N/A,789,N/A,QR629
Karachi,AirSial,10:00 AM,10:00 AM,11:55 AM,N/A,320,N/A,PF142
Gilgit,Pakistan International Airlines,10:00 AM,10:00 AM,10:25 AM,N/A,AT45,ATR 42-500,PK609
Karachi,AirBlue,10:00 AM,10:00 AM,11:55 AM,N/A,320,N/A,PA401
Jeddah,Saudia,10:45 AM,10:45 AM,1:55 PM,N/A,B77W,Boeing 777-368(ER),SV735
